Player,Date,Tm,Opp,Rslt,AppDec,IP,H,R,ER,BB,SO,HR,UER,Pit,Str,GSc,IR,IS,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,ERA,WPA,RE24,aLI,DFS(DK),DFS(FD)
Cam Bedrosian\bedroca01,5/14/19,LAA,MIN,L 3-4,GS-1 L,1,2,1,1,0,0,0,0,22,15,45,,,5,5,0,0,0,0,0,0,0,1,0,0,0,1,9,-0.052,-0.466,0.939,-0.95,0
Gregory Soto\sotogr01,5/15/19,DET,HOU,L 1-5,GS-2 L,2,3,2,2,2,3,1,0,47,27,43,,,10,8,0,0,0,0,0,0,0,0,1,0,0,0,9,-0.099,-0.91,1.026,3.5,9
Jose Leclerc\leclejo01,5/17/19,TEX,STL,W 7-3,GS-1,1,0,0,0,0,2,0,0,12,8,55,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0.587,0.643,6.25,9
Ryne Stanek\stanery01,5/17/19,TBR,NYY,L 3-4,GS-2,2,1,1,1,0,3,1,0,26,14,53,,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,4.5,-0.007,0.078,0.639,7.9,12
Chad Green\greench03,5/19/19,NYY,TBR,W 13-5,GS-2,1.2,3,2,2,1,1,2,0,29,15,41,,,9,7,1,0,0,1,0,0,0,0,1,0,0,0,10.8,-0.126,-1.166,0.81,-1.25,2
Taylor Cole\coleta01,5/20/19,LAA,MIN,L 1-3,GS-1,1,2,0,0,0,0,0,0,12,10,49,,,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0.049,0.522,1.335,1.05,3
Hunter Wood\woodhu01,5/21/19,TBR,LAD,L 3-7,GS-2 L,2,2,1,0,1,3,0,1,34,25,52,,,9,8,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.004,0.045,0.981,8.7,15
Jesse Chavez\chaveje01,5/22/19,TEX,SEA,W 2-1,GS-2,1.2,1,0,0,0,0,0,0,27,17,53,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082,0.91,0.942,3.15,5
Montana DuRapau\durapmo01,5/22/19,PIT,COL,L 3-9,GS-1 L,0.2,3,3,3,1,1,1,0,27,16,34,,,6,5,0,0,0,0,0,0,0,0,0,0,0,0,40.5,-0.252,-2.73,1.075,-4.9,-4
Michael Feliz\felizmi01,5/24/19,PIT,LAD,L 2-10,GS-1 L,0.1,4,5,5,1,0,1,0,22,12,22,,,6,5,1,0,0,0,0,0,0,1,0,0,0,0,135,-0.374,-4.764,1.427,-12.25,-14
Chad Green\greench03,2019-05-25Ê(2),NYY,KCR,W 6-5,GS-1,1,3,1,1,0,0,0,0,20,16,43,,,5,5,1,0,0,0,0,0,0,0,0,0,0,0,9,-0.051,-0.461,0.858,-1.55,0
Ryne Stanek\stanery01,5/26/19,TBR,CLE,W 6-3,GS-2,1.2,2,0,0,0,3,0,0,27,21,54,,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097,0.993,0.999,8.55,14
Chad Green\greench03,5/27/19,NYY,SDP,W 5-2,GS-1,1,0,0,0,0,3,0,0,14,9,56,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0.539,0.637,8.25,12
Cam Bedrosian\bedroca01,5/28/19,LAA,OAK,W 6-4,GS-1,1,1,1,1,0,1,1,0,17,9,48,,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,9,-0.055,-0.488,0.63,1.65,3
Jesse Chavez\chaveje01,5/28/19,TEX,SEA,W 11-4,GS-1,1,1,0,0,0,3,0,0,15,11,54,,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.507,0.69,7.65,12
Liam Hendriks\hendrli01,5/29/19,OAK,LAA,L 7-12,GS-1,1,2,2,2,2,1,0,0,33,18,40,,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,18,-0.149,-1.488,1.6,-2.15,0
Jose Leclerc\leclejo01,5/29/19,TEX,SEA,W 8-7,GS-1,1,1,0,0,1,1,0,0,20,10,51,,,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0.507,0.8,3.05,6
Luis Garcia\garcilu03,5/30/19,LAA,SEA,W 9-3,GS-1,1,1,0,0,0,0,0,0,9,6,51,,,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0.051,0.507,0.933,1.65,3
