Player,Date,Tm,Opp,Rslt,AppDec,IP,H,R,ER,BB,SO,HR,UER,Pit,Str,GSc,IR,IS,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,ERA,WPA,RE24,aLI,DFS(DK),DFS(FD)
Felix Pena\penafe01,5/14/19,LAA,MIN,L 3-4,7-Feb,5,5,3,3,1,3,1,0,64,42,,0,0,22,20,2,0,0,1,0,0,0,0,0,0,0,0,5.4,-0.096,-0.724,0.572,7.05,15
Nick Ramirez\ramirni01,5/15/19,DET,HOU,L 1-5,6-Mar,4,3,2,1,2,2,0,1,77,48,,0,0,19,15,0,0,0,0,1,1,0,0,0,0,0,0,2.25,-0.034,0.179,0.908,8,15
Yonny Chirinos\chiriyo01,5/17/19,TBR,NYY,L 3-4,7-Mar,4.2,4,0,0,0,2,0,0,68,45,,0,0,18,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0.324,2.583,1.182,12.1,20
Adrian Sampson\sampsad01,5/17/19,TEX,STL,W 7-3,2-7 W,5.1,7,2,1,1,1,0,1,97,69,,0,0,24,23,1,0,0,0,0,0,0,0,0,0,0,0,1.69,0.109,0.924,0.655,11.2,28
Nestor Cortes Jr.\cortene01,5/19/19,NYY,TBR,W 13-5,6-Feb,4,3,3,3,2,6,1,0,76,42,,1,0,17,15,1,0,0,0,0,0,0,0,0,0,0,0,6.75,-0.129,-1.057,1.006,12,21
Felix Pena\penafe01,5/20/19,LAA,MIN,L 1-3,6-Feb,5,4,1,1,1,3,0,0,68,43,,0,0,20,19,0,0,0,0,0,0,0,0,0,0,0,1,1.8,0.157,1.612,0.953,12.25,21
Jalen Beeks\beeksja02,5/21/19,TBR,LAD,L 3-7,7-Mar,4.2,8,5,5,2,4,0,0,83,54,,0,0,24,21,2,0,0,0,0,1,0,1,0,0,0,1,9.64,-0.134,-1.901,0.73,2.5,11
Nick Kingham\kinghni01,5/22/19,PIT,COL,L 3-9,5-Jan,4,9,6,6,4,3,1,0,89,50,,1,0,23,18,2,0,0,0,1,0,0,0,1,0,0,0,13.5,-0.227,-3.207,0.527,-4.8,3
Adrian Sampson\sampsad01,5/22/19,TEX,SEA,W 2-1,2-7 W,5.1,4,1,1,0,5,0,0,76,51,,1,0,19,19,2,0,0,0,0,0,1,0,0,0,1,0,1.69,0.29,2.197,1.117,21.6,40
Steven Brault\braulst01,5/24/19,PIT,LAD,L 2-10,6-Jan,5.2,3,2,2,3,1,0,0,98,57,,0,0,22,19,3,0,0,0,0,0,2,0,0,0,0,0,3.18,-0.024,0.764,0.247,7.15,14
Chance Adams\adamsch01,2019-05-25Ê(2),NYY,KCR,W 6-5,2-5 W,4,5,3,3,1,3,0,0,66,45,,0,0,17,16,3,0,0,0,0,0,0,0,0,0,0,0,6.75,-0.005,-0.843,0.828,9.4,24
Jalen Beeks\beeksja02,5/26/19,TBR,CLE,W 6-3,2-7 W,4.2,2,0,0,3,3,0,0,91,49,,0,0,20,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0.19,2.166,0.781,16.9,35
David Hale\haleda02,5/27/19,NYY,SDP,W 5-2,2-5 W,4,3,2,2,1,4,0,0,61,37,,0,0,16,15,2,0,0,0,0,0,0,0,0,0,0,0,4.5,0.041,0.157,1.051,14.6,30
Adrian Sampson\sampsad01,5/28/19,TEX,SEA,W 11-4,2-7 W,5,8,3,3,1,6,0,0,97,61,,0,0,24,23,2,0,0,0,0,0,0,0,0,0,0,0,5.4,0.145,-0.852,0.57,15.85,36
Nick Tropeano\tropeni01,5/28/19,LAA,OAK,W 6-4,6-Feb,5,5,3,3,2,4,2,0,87,53,,0,0,21,19,0,0,0,0,0,0,1,0,0,0,0,0,5.4,-0.122,-0.439,1.065,9.05,18
Daniel Mengden\mengdda01,5/29/19,OAK,LAA,L 7-12,6-Feb,4.1,4,1,1,3,6,0,0,87,52,,0,0,21,18,0,0,0,0,0,0,0,0,0,0,0,0,2.08,0.055,1.027,0.937,15.55,28
Drew Smyly\smylydr01,5/29/19,TEX,SEA,W 8-7,6-Feb,5,8,7,7,3,4,2,0,91,52,,0,0,26,23,2,1,0,0,0,0,0,1,0,0,0,0,12.6,-0.695,-4.467,1.297,-1.35,6
Felix Pena\penafe01,5/30/19,LAA,SEA,W 9-3,2-7 W,5.1,3,3,3,3,8,1,0,102,64,,0,0,22,19,1,0,0,0,0,0,1,0,0,0,0,0,5.06,0.087,-0.372,0.529,22.4,43
