Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
49,70,141,Sep 8,TBR,,BAL,W10-5,5-May,H(8),3,0.1,0,0,0,0,0,0,0,2.65,1,5,3,0,0,0,1,1,0,0,,1,0,1,0,0,1,0,0,0,0,0,0,1.16,0.028,0.23,0.75,1,5t 1-- 2 out a2,5t 3 out a2
51,72,143,Sep 10,TBR,,CLE,W6-5,5-May,H(9),0,0.1,0,0,0,0,1,0,0,2.62,1,3,3,0,2,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,2.18,0.097,0.8,2.75,4,5t -23 1 out a2,5t -23 2 out a2
52,73,146,Sep 14,TBR,,OAK,L1-2,3-Mar,,3,1,0,0,0,1,0,0,0,2.58,3,9,4,1,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.01,0.055,0.5,1.65,3,3t --- 0 out tie,3t 3 out tie
54,75,150,Sep 18,TBR,@,TEX,W4-0,9-GF,,2,1,0,0,0,0,1,0,0,2.49,3,12,9,4,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.28,0.023,0.57,4.25,6,9b --- 0 out a4,9b end a 4
56,77,154,Sep 22,TBR,@,TOR,L2-5,7-Jul,,1,0.2,0,0,0,0,2,0,0,2.71,2,9,6,0,3,0,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,0.86,0.044,0.52,5.5,8,7b 1-- 1 out d1,7b 3 out d1
57,78,155,Sep 23,TBR,@,TOR,W5-2,8-Aug,H(10),0,0.1,0,0,0,0,0,0,0,2.7,1,2,1,0,0,0,1,0,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.73,0.021,0.23,0.75,1,8b 1-- 2 out a3,8b 3 out a3
59,80,162,Sep 30,TBR,,TOR,W9-4,GS-2,,3,2,1,0,0,0,3,0,0,2.98,7,27,18,4,4,1,3,0,0,0,57,,,0,0,0,7,0,0,0,0,0,0,0.89,0.098,0.99,9.9,15,1t start tie,2t 3 out tie
1,81,3,Mar 30,TBR,,HOU,W3-1,7-Jun,H(1),99,2,0,0,0,1,1,0,0,0,7,21,11,2,2,1,4,2,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.22,0.179,1.05,5.9,9,6t --- 0 out a1,7t 3 out a1
3,83,7,Apr 3,TBR,,COL,L0-1,7-Jul,,1,1,0,0,0,0,1,0,0,0,3,12,8,0,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.16,0.09,0.52,4.25,6,7t --- 0 out tie,7t 3 out tie
4,84,9,Apr 6,TBR,@,SFG,L4-6,GS-2,,2,2,0,0,0,0,2,0,0,0,6,32,22,2,7,1,3,0,0,0,58,,,0,0,0,6,0,0,0,0,0,0,0.69,0.105,0.99,8.5,12,1b start a 1,2b 3 out a1
5,85,12,Apr 9,TBR,@,CHW,W10-5,8-Aug,,2,0,2,1,1,1,0,0,0,1.5,3,17,8,2,1,1,1,1,0,0,,2,2,0,0,0,2,0,0,0,0,0,0,0.6,-0.067,-2.34,-3.8,-3,8b 12- 2 out a6,8b 123 2 out a4
6,86,14,Apr 12,TBR,@,TOR,W11-7,GS-2,,2,2,0,0,0,0,3,0,0,1.12,6,22,15,3,5,1,2,1,0,0,59,,,0,0,0,6,0,0,0,0,0,0,0.69,0.106,1.04,10.5,15,1b start a 1,2b 3 out a1
7,87,16,Apr 14,TBR,@,TOR,W8-4,7-Jul,H(2),1,0.1,2,1,1,0,0,1,0,2.16,3,11,6,1,2,0,3,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.35,-0.149,-1.02,-2.45,-2,7b --- 0 out a2,7b 1-- 1 out a1
9,89,20,Apr 19,TBR,,BOS,L4-6,GS-2,,1,2,0,0,0,1,0,0,0,1.59,6,14,7,1,0,3,2,0,0,0,55,,,0,0,0,5,0,0,0,1,0,0,0.78,0.101,1.05,3.9,6,1t start tie,2t 3 out tie
10,90,22,Apr 21,TBR,,BOS,L3-4,7-Jul,,1,1,2,0,0,0,0,0,0,1.46,5,13,9,2,1,0,5,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.02,0.058,0.52,1.05,3,7t --- 0 out d1,7t 3 out d1
14,94,35,May 7,TBR,,ARI,W6-3,GS-2,,5,2,1,0,0,0,4,0,0,2.5,7,33,23,4,6,2,1,0,0,0,58,,,0,0,0,7,0,0,0,0,0,0,0.69,0.102,1.05,11.9,18,1t start tie,2t 3 out a1
16,96,39,May 12,TBR,,NYY,L1-7,8-Aug,,0,1,1,1,1,1,2,0,0,2.57,5,22,14,4,3,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.36,-0.088,-0.48,3.05,6,8t --- 0 out d1,8t 3 out d2
17,97,41,May 15,TBR,@,MIA,W1-0,GS-1,,2,1,0,0,0,1,1,0,0,2.45,4,13,7,1,1,1,1,1,0,0,53,,,0,0,0,3,0,0,0,0,0,0,1.08,0.047,0.47,3.65,6,1b start tie,1b 3 out tie
19,99,44,May 19,TBR,@,NYY,L5-13,6-Jun,,1,0.1,1,3,3,2,0,0,0,3.7,3,17,7,2,2,1,0,0,0,0,,3,2,0,0,0,1,0,0,1,0,0,0,2.08,-0.093,-1.18,-7.05,-8,6b 123 1 out d1,6b 123 2 out d3
20,100,46,May 22,TBR,,LAD,W8-1,GS-2,,2,1.2,1,0,0,1,2,0,0,3.46,7,24,15,3,6,2,2,1,1,0,54,,,0,0,0,6,0,0,0,0,0,0,1.32,0.089,0.94,6.55,11,1t start tie,2t --- 2 out tie
21,101,47,May 23,TBR,@,CLE,W7-2,8-Aug,,0,0.2,0,0,0,0,1,0,0,3.38,2,11,7,3,2,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0.15,0.008,0.3,3.5,5,8b --- 1 out a5,8b 3 out a5
23,103,52,May 28,TBR,,TOR,W3-1,GS-2,,1,2,1,0,0,1,1,0,0,2.97,8,26,16,4,2,2,4,2,2,0,54,,,0,0,0,7,0,0,0,0,0,0,0.7,0.102,1.05,5.3,9,1t start tie,2t 3 out a1
